arm,query_mode,traversal,scope,metric,value,n
B,legacy,none,gold_width=>=10s,mIoP,0.5563042504537205,551
B,legacy,none,gold_width=>=10s,mIoU,0.13759935208711435,551
B,legacy,none,gold_width=>=10s,IoP@0.3,0.6007259528130672,551
B,legacy,none,gold_width=>=10s,IoP@0.5,0.5626134301270418,551
B,legacy,none,gold_width=>=10s,IoU@0.3,0.1560798548094374,551
B,legacy,none,gold_width=>=10s,IoU@0.5,0.016333938294010888,551
B,legacy,none,gold_width=>=10s,zero_width_count,0,551
B,legacy,none,gold_width=>=10s,zero_width_rate,0.0,551
B,legacy,none,gold_width=>=10s,invalid_span_count,0,551
B,legacy,none,gold_width=>=10s,mean_pred_span_width,4.301060980036297,551
B,legacy,none,gold_width=>=10s,median_retrieval_ms,14.029,551
B,legacy,none,gold_width=>=10s,p95_retrieval_ms,19.9674,551
B,legacy,none,gold_width=>=10s,mean_ppr_calls,3.6533575317604354,551
B,legacy,none,gold_width=>=10s,max_ppr_calls,5,551
B,legacy,none,gold_width=>=10s,avg_context_frames,4.0,551
B,legacy,none,gold_width=>=10s,max_context_frames_observed,4,551
C,legacy,legacy_symmetric,overall,n,2685,2685
C,legacy,legacy_symmetric,overall,gold_frame_at_4,0.3970204841713222,2685
C,legacy,legacy_symmetric,overall,anchor_in_gold_at_1,0.2845437616387337,2685
C,legacy,legacy_symmetric,overall,mIoP,0.2900492744878957,2685
C,legacy,legacy_symmetric,overall,mIoU,0.1563997601489758,2685
C,legacy,legacy_symmetric,overall,IoP@0.3,0.3642458100558659,2685
C,legacy,legacy_symmetric,overall,IoP@0.5,0.29459962756052144,2685
C,legacy,legacy_symmetric,overall,IoU@0.3,0.2361266294227188,2685
C,legacy,legacy_symmetric,overall,IoU@0.5,0.11880819366852886,2685
C,legacy,legacy_symmetric,overall,zero_width_count,0,2685
C,legacy,legacy_symmetric,overall,zero_width_rate,0.0,2685
C,legacy,legacy_symmetric,overall,invalid_span_count,0,2685
C,legacy,legacy_symmetric,overall,mean_pred_span_width,4.267988752327747,2685
C,legacy,legacy_symmetric,overall,median_retrieval_ms,14.731,2685
C,legacy,legacy_symmetric,overall,p95_retrieval_ms,20.167099999999998,2685
C,legacy,legacy_symmetric,overall,mean_ppr_calls,3.9325884543761638,2685
C,legacy,legacy_symmetric,overall,max_ppr_calls,5,2685
C,legacy,legacy_symmetric,overall,avg_context_frames,7.996648044692737,2685
C,legacy,legacy_symmetric,overall,max_context_frames_observed,8,2685
